"organization","isin","bbid","ticker","hq_country","importance_of_water_quality_and_quantity_direct_indirect_use","importance_of_water_quality_and_quantity_importance_rating","importance_of_water_quality_and_quantity_explanation","evaluated_how_water_could_affect_growth_strategy","experienced_detrimental_impacts_related_to_water_this_year","procedures_to_assess_water_risk","geographic_scale_of_assessments","methods_used_to_assess_water_risks","do_you_require_your_key_suppliers_to_report_on_their_water_use_risks_and_management","organization_exposed_to_water_risk","does_water_present_opportunities","highest_level_of_direct_responsibility_for_water","is_water_integrated_into_business_strategy","does_your_organization_have_a_water_policy","subject_to_penalties_and_or_fines","target_and_or_goals"
"Entergy Corporation","US29364G1031","EQ0010053200001000","ETR US","USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","10% of Entergy's generating capacity uses brackish water for cooling,  3% uses salt water and 3% uses recycled water. Entergy’s 538 MW Rhode Island State Energy Center used 3.9 million M3 of treated effluent from the City of Cranston’s Water Pollution Control Facility for cooling water during 2013. The water quantity, quality, biological diversity and ambient temperatures for each water body are all factors that are important for Entergy’s current and future power plant operations.",,,,,,,,,,,,,
"Entergy Corporation","US29364G1031","EQ0010053200001000","ETR US","USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important","Entergy was founding member of supply chain initiative with suppliers to do reduce water consumption and enhance eco-efficiency of commodities used in utility industry.",,,,,,,,,,,,,
"Exxaro Resources Ltd","ZAE000084992","EQ0756781700001000","EXX SJ","South Africa","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Vital for operations","Not all the mining processes require good quality fresh water and run off or recycled or poor quality ground water will suffice in these circumstances provided that the volumes and year round(seasonal) availability is sufficient",,,,"Country","WRI water stress definition",,,,,,,,
"EOG Resources, Inc.","US26875P1012","EQ0010052900001000","EOG US","USA",,,,,"No","Other",,,"No","Yes, direct operations and supply chain",,,"Yes","Other: The ""Corporate Responsibility"" section of EOG's corporate website (www.eogresources.com) contains significant and meaningful information regarding EOG's water stewardship and related practices, including EOG's water intensity rate for 2013 and other quantitative indicators relevant to water stewardship.  As discussed in detail in such website disclosures, EOG (i) is committed to actively managing and conserving water resources in the communities where it operates; (ii) continues to test water reuse technologies, take steps to minimize overall water usage in the drilling and completion of wells, meet or exceed permit requirements, properly dispose of produced water, evaluate alternative sources of water and otherwise responsibly manage the water used, produced and disposed of during its operations to protect the environment; (iii) takes steps to meet or exceed all regulatory requirements and (iv) has worked with regulatory authorities to promote water conservation and efficiencies.","Yes, not significant","Yes, goals only"
"EOG Resources, Inc.","US26875P1012","EQ0010052900001000","EOG US","USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Neutral","EOG uses various sources of water depending on the region where the drilling takes place.  Each of EOG’s operating areas has different geologic and geographic conditions as well as unique needs and challenges when it comes to identifying sources of water and the ability to reuse water.  Each operating area also has differences in water use (e.g., agricultural, industrial and municipal) and, accordingly, differences in competition for water use.",,,,"Business unit","Internal company knowledge",,,,"Senior Manager/Officer",,,,
"EOG Resources, Inc.","US26875P1012","EQ0010052900001000","EOG US","USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Neutral","EOG uses various sources of water depending on the region where the drilling takes place.  Each of EOG’s operating areas has different geologic and geographic conditions as well as unique needs and challenges when it comes to identifying sources of water and the ability to reuse water.  Each operating area also has differences in water use (e.g., agricultural, industrial and municipal) and, accordingly, differences in competition for water use.",,,,,,,,,,,,,
"EOG Resources, Inc.","US26875P1012","EQ0010052900001000","EOG US","USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Neutral","EOG uses various sources of water depending on the region where the drilling takes place.  Each of EOG’s operating areas has different geologic and geographic conditions as well as unique needs and challenges when it comes to identifying sources of water and the ability to reuse water.  Each operating area also has differences in water use (e.g., agricultural, industrial and municipal) and, accordingly, differences in competition for water use.",,,,,,,,,,,,,
"EOG Resources, Inc.","US26875P1012","EQ0010052900001000","EOG US","USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Neutral","EOG uses various sources of water depending on the region where the drilling takes place.  Each of EOG’s operating areas has different geologic and geographic conditions as well as unique needs and challenges when it comes to identifying sources of water and the ability to reuse water.  Each operating area also has differences in water use (e.g., agricultural, industrial and municipal) and, accordingly, differences in competition for water use.",,,,,,,,,,,,,
"Essar Oil","INE011A01019","EQ0016296400001000","ESOIL IN","India",,,,"Yes, evaluated over the next 5 years","No","Water risk assessments undertaken independently of other risk assessments across some direct operations",,,"No","Yes, direct operations only","Yes",,"Yes","No","No","Yes, goals only"
"Essar Oil","INE011A01019","EQ0016296400001000","ESOIL IN","India","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Not very important","Locational advantage of the Refinery is the proximity to the sea. So the refinery relies on sea water  intake for day to day operations. Fresh water is available in limited quantity and its availability has marginal effect on the success as the design of the unit is on sea water  based",,,,"Facility","IPIECA Global Water Tool for Oil & Gas",,,,"Senior Manager/Officer",,,,
"Essar Oil","INE011A01019","EQ0016296400001000","ESOIL IN","India","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","Due to regulatory requirement as well as the economics of producing make up water from the seawater  it is important that the water needs for non-core areas be met from brackish or treated waste water sources. They affect the profitability of the organisation and they are available in sufficient quantity for use.",,,,,"Water Footprint Network",,,,,,,,
"Essar Oil","INE011A01019","EQ0016296400001000","ESOIL IN","India","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Not important at all","Being a refinery, water footprint beyond the manufacturing process is not so relevant and has not been assessed by the org.",,,,,"Other: The CERES AQUA GUAGE: A framework for 21st century water risk assessment",,,,,,,,
"Essar Oil","INE011A01019","EQ0016296400001000","ESOIL IN","India","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not important at all","Being a refinery, water footprint beyond the manufacturing process is not so relevant and has not been assessed by the org.",,,,,,,,,,,,,
"Essentra","GB00B0744359","EQ0000000001760430","ESNT LN","United Kingdom",,,,,,,,,,,,,,,,
"EXEDY Corporation","JP3161160001","EQ0011349300001000","7278 JP","Japan","Direct use: sufficient amounts of good quality freshwater available for use across your own operations",,,,,,,,,,,,,,,
"EXEDY Corporation","JP3161160001","EQ0011349300001000","7278 JP","Japan","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations",,,,,,,,,,,,,,,
